"Country.Code" "Region" "IncomeGroup" "TableName"
"1" "ABW" "Latin America & Caribbean" "High income" "Aruba"
"2" "AFE" NA NA "Africa Eastern and Southern"
"3" "AFG" "South Asia" "Low income" "Afghanistan"
"4" "AFW" NA NA "Africa Western and Central"
"5" "AGO" "Sub-Saharan Africa" "Lower middle income" "Angola"
"6" "ALB" "Europe & Central Asia" "Upper middle income" "Albania"
"7" "AND" "Europe & Central Asia" "High income" "Andorra"
"8" "ARB" NA NA "Arab World"
"9" "ARE" "Middle East & North Africa" "High income" "United Arab Emirates"
"10" "ARG" "Latin America & Caribbean" "Upper middle income" "Argentina"
"11" "ARM" "Europe & Central Asia" "Upper middle income" "Armenia"
"12" "ASM" "East Asia & Pacific" "Upper middle income" "American Samoa"
"13" "ATG" "Latin America & Caribbean" "High income" "Antigua and Barbuda"
"14" "AUS" "East Asia & Pacific" "High income" "Australia"
"15" "AUT" "Europe & Central Asia" "High income" "Austria"
"16" "AZE" "Europe & Central Asia" "Upper middle income" "Azerbaijan"
"17" "BDI" "Sub-Saharan Africa" "Low income" "Burundi"
"18" "BEL" "Europe & Central Asia" "High income" "Belgium"
"19" "BEN" "Sub-Saharan Africa" "Lower middle income" "Benin"
"20" "BFA" "Sub-Saharan Africa" "Low income" "Burkina Faso"
"21" "BGD" "South Asia" "Lower middle income" "Bangladesh"
"22" "BGR" "Europe & Central Asia" "Upper middle income" "Bulgaria"
"23" "BHR" "Middle East & North Africa" "High income" "Bahrain"
"24" "BHS" "Latin America & Caribbean" "High income" "Bahamas, The"
"25" "BIH" "Europe & Central Asia" "Upper middle income" "Bosnia and Herzegovina"
"26" "BLR" "Europe & Central Asia" "Upper middle income" "Belarus"
"27" "BLZ" "Latin America & Caribbean" "Lower middle income" "Belize"
"28" "BMU" "North America" "High income" "Bermuda"
"29" "BOL" "Latin America & Caribbean" "Lower middle income" "Bolivia"
"30" "BRA" "Latin America & Caribbean" "Upper middle income" "Brazil"
"31" "BRB" "Latin America & Caribbean" "High income" "Barbados"
"32" "BRN" "East Asia & Pacific" "High income" "Brunei Darussalam"
"33" "BTN" "South Asia" "Lower middle income" "Bhutan"
"34" "BWA" "Sub-Saharan Africa" "Upper middle income" "Botswana"
"35" "CAF" "Sub-Saharan Africa" "Low income" "Central African Republic"
"36" "CAN" "North America" "High income" "Canada"
"37" "CEB" NA NA "Central Europe and the Baltics"
"38" "CHE" "Europe & Central Asia" "High income" "Switzerland"
"39" "CHI" "Europe & Central Asia" "High income" "Channel Islands"
"40" "CHL" "Latin America & Caribbean" "High income" "Chile"
"41" "CHN" "East Asia & Pacific" "Upper middle income" "China"
"42" "CIV" "Sub-Saharan Africa" "Lower middle income" "Côte d'Ivoire"
"43" "CMR" "Sub-Saharan Africa" "Lower middle income" "Cameroon"
"44" "COD" "Sub-Saharan Africa" "Low income" "Congo, Dem. Rep."
"45" "COG" "Sub-Saharan Africa" "Lower middle income" "Congo, Rep."
"46" "COL" "Latin America & Caribbean" "Upper middle income" "Colombia"
"47" "COM" "Sub-Saharan Africa" "Lower middle income" "Comoros"
"48" "CPV" "Sub-Saharan Africa" "Lower middle income" "Cabo Verde"
"49" "CRI" "Latin America & Caribbean" "Upper middle income" "Costa Rica"
"50" "CSS" NA NA "Caribbean small states"
"51" "CUB" "Latin America & Caribbean" "Upper middle income" "Cuba"
"52" "CUW" "Latin America & Caribbean" "High income" "Curaçao"
"53" "CYM" "Latin America & Caribbean" "High income" "Cayman Islands"
"54" "CYP" "Europe & Central Asia" "High income" "Cyprus"
"55" "CZE" "Europe & Central Asia" "High income" "Czech Republic"
"56" "DEU" "Europe & Central Asia" "High income" "Germany"
"57" "DJI" "Middle East & North Africa" "Lower middle income" "Djibouti"
"58" "DMA" "Latin America & Caribbean" "Upper middle income" "Dominica"
"59" "DNK" "Europe & Central Asia" "High income" "Denmark"
"60" "DOM" "Latin America & Caribbean" "Upper middle income" "Dominican Republic"
"61" "DZA" "Middle East & North Africa" "Lower middle income" "Algeria"
"62" "EAP" NA NA "East Asia & Pacific (excluding high income)"
"63" "EAR" NA NA "Early-demographic dividend"
"64" "EAS" NA NA "East Asia & Pacific"
"65" "ECA" NA NA "Europe & Central Asia (excluding high income)"
"66" "ECS" NA NA "Europe & Central Asia"
"67" "ECU" "Latin America & Caribbean" "Upper middle income" "Ecuador"
"68" "EGY" "Middle East & North Africa" "Lower middle income" "Egypt, Arab Rep."
"69" "EMU" NA NA "Euro area"
"70" "ERI" "Sub-Saharan Africa" "Low income" "Eritrea"
"71" "ESP" "Europe & Central Asia" "High income" "Spain"
"72" "EST" "Europe & Central Asia" "High income" "Estonia"
"73" "ETH" "Sub-Saharan Africa" "Low income" "Ethiopia"
"74" "EUU" NA NA "European Union"
"75" "FCS" NA NA "Fragile and conflict affected situations"
"76" "FIN" "Europe & Central Asia" "High income" "Finland"
"77" "FJI" "East Asia & Pacific" "Upper middle income" "Fiji"
"78" "FRA" "Europe & Central Asia" "High income" "France"
"79" "FRO" "Europe & Central Asia" "High income" "Faroe Islands"
"80" "FSM" "East Asia & Pacific" "Lower middle income" "Micronesia, Fed. Sts."
"81" "GAB" "Sub-Saharan Africa" "Upper middle income" "Gabon"
"82" "GBR" "Europe & Central Asia" "High income" "United Kingdom"
"83" "GEO" "Europe & Central Asia" "Upper middle income" "Georgia"
"84" "GHA" "Sub-Saharan Africa" "Lower middle income" "Ghana"
"85" "GIB" "Europe & Central Asia" "High income" "Gibraltar"
"86" "GIN" "Sub-Saharan Africa" "Low income" "Guinea"
"87" "GMB" "Sub-Saharan Africa" "Low income" "Gambia, The"
"88" "GNB" "Sub-Saharan Africa" "Low income" "Guinea-Bissau"
"89" "GNQ" "Sub-Saharan Africa" "Upper middle income" "Equatorial Guinea"
"90" "GRC" "Europe & Central Asia" "High income" "Greece"
"91" "GRD" "Latin America & Caribbean" "Upper middle income" "Grenada"
"92" "GRL" "Europe & Central Asia" "High income" "Greenland"
"93" "GTM" "Latin America & Caribbean" "Upper middle income" "Guatemala"
"94" "GUM" "East Asia & Pacific" "High income" "Guam"
"95" "GUY" "Latin America & Caribbean" "Upper middle income" "Guyana"
"96" "HIC" NA NA "High income"
"97" "HKG" "East Asia & Pacific" "High income" "Hong Kong SAR, China"
"98" "HND" "Latin America & Caribbean" "Lower middle income" "Honduras"
"99" "HPC" NA NA "Heavily indebted poor countries (HIPC)"
"100" "HRV" "Europe & Central Asia" "High income" "Croatia"
"101" "HTI" "Latin America & Caribbean" "Lower middle income" "Haiti"
"102" "HUN" "Europe & Central Asia" "High income" "Hungary"
"103" "IBD" NA NA "IBRD only"
"104" "IBT" NA NA "IDA & IBRD total"
"105" "IDA" NA NA "IDA total"
"106" "IDB" NA NA "IDA blend"
"107" "IDN" "East Asia & Pacific" "Lower middle income" "Indonesia"
"108" "IDX" NA NA "IDA only"
"109" "IMN" "Europe & Central Asia" "High income" "Isle of Man"
"110" "IND" "South Asia" "Lower middle income" "India"
"111" "IRL" "Europe & Central Asia" "High income" "Ireland"
"112" "IRN" "Middle East & North Africa" "Lower middle income" "Iran, Islamic Rep."
"113" "IRQ" "Middle East & North Africa" "Upper middle income" "Iraq"
"114" "ISL" "Europe & Central Asia" "High income" "Iceland"
"115" "ISR" "Middle East & North Africa" "High income" "Israel"
"116" "ITA" "Europe & Central Asia" "High income" "Italy"
"117" "JAM" "Latin America & Caribbean" "Upper middle income" "Jamaica"
"118" "JOR" "Middle East & North Africa" "Upper middle income" "Jordan"
"119" "JPN" "East Asia & Pacific" "High income" "Japan"
"120" "KAZ" "Europe & Central Asia" "Upper middle income" "Kazakhstan"
"121" "KEN" "Sub-Saharan Africa" "Lower middle income" "Kenya"
"122" "KGZ" "Europe & Central Asia" "Lower middle income" "Kyrgyz Republic"
"123" "KHM" "East Asia & Pacific" "Lower middle income" "Cambodia"
"124" "KIR" "East Asia & Pacific" "Lower middle income" "Kiribati"
"125" "KNA" "Latin America & Caribbean" "High income" "St. Kitts and Nevis"
"126" "KOR" "East Asia & Pacific" "High income" "Korea, Rep."
"127" "KWT" "Middle East & North Africa" "High income" "Kuwait"
"128" "LAC" NA NA "Latin America & Caribbean (excluding high income)"
"129" "LAO" "East Asia & Pacific" "Lower middle income" "Lao PDR"
